raw_filename,mapped_name
raw_000006.png,S- Golden Headpiece
raw_000010.png,S- Golden Pendant
raw_000013.png,S- Wairo Shield
raw_000016.png,F- Turban
raw_000017.png,F- Wooden Club
raw_000019.png,F- Loincloth
raw_000020.png,F- Wooden Sandals
raw_000027.png,F- Novel
raw_000030.png,C- Magic Pendant
raw_000031.png,D- Ninja Headband
raw_000032.png,F- Wooden Stick
raw_000034.png,C- Leather Armor
raw_000036.png,E- Director's Beret
raw_000037.png,C- Silver Scalpel
raw_000038.png,B- Shell Shield
raw_000039.png,C- Durable Cape
raw_000040.png,B- Boots
raw_000042.png,C- Elder Club
raw_000044.png,C- Coat
raw_000045.png,D- Ring
raw_000046.png,C- Bronze Headpiece
raw_000047.png,A- Ancient Sword
raw_000048.png,B- Green Shield
raw_000049.png,B- Bronze Armor
raw_000050.png,B- Blue Pendant
raw_000051.png,C- Guard Helmet
raw_000052.png,A- Artisanal Sword
raw_000053.png,B- Legendary Shield (B)
raw_000054.png,B- Dress
raw_000055.png,B- Charm
raw_000056.png,C- Helmet
raw_000057.png,A- Honor Sword
raw_000058.png,B- Legendary Shield (R)
raw_000060.png,B- Collar
raw_000061.png,C- Mail Coif
raw_000062.png,A- Kairo Bow
raw_000063.png,B- Scholar's Shield
raw_000064.png,C- Fur Coat
raw_000065.png,B- Silver Earrings
raw_000066.png,D- Bandana
raw_000067.png,A- Kairo Gun
raw_000068.png,C- Conqueror's Shield
raw_000069.png,C- Light Mail
raw_000070.png,B- Silver Ring
raw_000071.png,D- Forehead Guard
raw_000072.png,A- Kairo Hammer
raw_000073.png,C- Demonic Shield
raw_000074.png,C- Men's Kimono
raw_000075.png,C- Amulet
raw_000076.png,D- Lookout Hat
raw_000077.png,A- Kairo Lance
raw_000078.png,C- Nightmare Shield
raw_000079.png,C- Robe
raw_000080.png,C- Candle
raw_000081.png,D- Magic Hat
raw_000082.png,A- Kairo Sword
raw_000083.png,C- Noble Shield
raw_000084.png,C- Skirt
raw_000085.png,C- Cloth Bag
raw_000086.png,D- Winged Bandana
raw_000087.png,A- Legendary Katana
raw_000088.png,D- Folk Art Shield
raw_000089.png,D- Cape
raw_000090.png,C- Gloves
raw_000091.png,D- Winged Hat
raw_000092.png,A- Light Staff
raw_000093.png,D- Iron Shield
raw_000094.png,D- Chain Mail
raw_000095.png,C- Pearl Ring
raw_000096.png,D- Winged Helm
raw_000097.png,A- Master's Hammer
raw_000098.png,D- Sturdy Shield
raw_000099.png,D- Iron Chest Guard
raw_000100.png,C- Wooden Carving
raw_000101.png,E- Angel's Halo
raw_000102.png,A- Red Club
raw_000103.png,E- Buckler
raw_000104.png,D- Pajamas
raw_000105.png,C- Wristband
raw_000106.png,E- Hat (R)
raw_000107.png,A- Swift Bow
raw_000108.png,E- Infantry Shield
raw_000109.png,D- Stylish Garment
raw_000110.png,D- Leather Band
raw_000111.png,E- Helmet
raw_000112.png,B- Commander's Sword
raw_000113.png,F- Leather Shield
raw_000114.png,D- Thick Garment
raw_000115.png,D- Necklace
raw_000116.png,E- Pirate Hat
raw_000117.png,B- Flame Ninja Star
raw_000118.png,No Equipment
raw_000119.png,E- Durable Garment
raw_000120.png,E- Leather Shoes
raw_000121.png,F- Alice Band
raw_000122.png,B- Hunting Bow
raw_000124.png,E- Leather Chest Guard
raw_000125.png,E- Locket
raw_000126.png,F- Bandana
raw_000127.png,B- Lightweight Sword
raw_000128.png,S- Mirror Shield
raw_000129.png,F- Common Garment
raw_000130.png,S- Sally Prin Figure
raw_000131.png,F- Chef Hat
raw_000132.png,B- Master's Knife
raw_000133.png,S- Shining Shield
raw_000134.png,F- Linen Garment
raw_000135.png,S- Winged Sandals
raw_000136.png,F- Hat
raw_000137.png,B- Shining Staff
raw_000141.png,F- Headband
raw_000142.png,B- Thunder Staff
raw_000143.png,F- Holy Hat
raw_000144.png,C- Ancient Staff
raw_000145.png,F- Top Hat
raw_000146.png,C- Ancient Tome
raw_000148.png,B- Morning Star
raw_000150.png,C- Club
raw_000152.png,C- Courage Sword
raw_000154.png,C- Cudgel
raw_000156.png,C- Darkness Sword
raw_000158.png,C- Folk Art Club
raw_000160.png,C- Giant Ninja Star
raw_000162.png,C- Ice Greatsword
raw_000164.png,C- Infantry Bow
raw_000166.png,C- Iron Hammer
raw_000168.png,C- Iron Pike
raw_000170.png,C- Light Club
raw_000172.png,C- Lightning Staff
raw_000174.png,C- Master's Sword
raw_000176.png,C- Paladin's Spear
raw_000178.png,C- Rifle
raw_000180.png,C- Saint's Sword
raw_000182.png,C- Shogun's Katana
raw_000184.png,C- Silver Sword
raw_000186.png,C- Spiked Staff
raw_000188.png,C- Steel Axe
raw_000190.png,C- Tempered Sword
raw_000192.png,C- Tornado Sword
raw_000194.png,D- Bastard Sword
raw_000196.png,D- Black Sword
raw_000198.png,D- Bow
raw_000200.png,D- Cutlass
raw_000204.png,D- Ice Sword
raw_000206.png,D- Ladle
raw_000208.png,D- Long Hammer
raw_000210.png,D- Lumberjack's Axe
raw_000212.png,D- Mace
raw_000214.png,D- Master's Spear
raw_000216.png,D- Ninja Star
raw_000218.png,D- Normal Sword
raw_000220.png,D- Oak Club
raw_000222.png,D- Pistol
raw_000224.png,D- Research Guide
raw_000226.png,D- Royal Scepter
raw_000228.png,D- Sabre
raw_000230.png,D- Silver Knife
raw_000234.png,D- Steel Sword
raw_000236.png,D- The Spike
raw_000238.png,E- Basic Hammer
raw_000240.png,E- Bronze Spear
raw_000242.png,E- Copper Sword
raw_000244.png,E- Fisherman's Pike
raw_000248.png,E- Green Staff
raw_000250.png,E- Ice Knife
raw_000252.png,E- Infantry Sword
raw_000254.png,E- Iron Spear
raw_000256.png,E- Kitchen Knife
raw_000258.png,E- Kunai
raw_000260.png,E- Longish Sword
raw_000262.png,E- Magnifying Glass
raw_000264.png,E- Mallet
raw_000266.png,E- Metal Ore Staff
raw_000268.png,E- Pirate Sword
raw_000270.png,E- Pokey Stick
raw_000272.png,E- Red Staff
raw_000274.png,E- Samurai Sword
raw_000276.png,E- Scalpel
raw_000278.png,E- Sturdy Club
raw_000280.png,E- Sword
raw_000282.png,E- Tough Club
raw_000284.png,E- Wooden Wand
raw_000286.png,F- Adze
raw_000288.png,F- Bludgeon
raw_000290.png,F- Bronze Sword
raw_000292.png,F- Fruit Knife
raw_000294.png,F- Iron Staff
raw_000296.png,F- Prayer Club
raw_000298.png,F- Simple Katana
raw_000300.png,F- Tiny Knife
raw_000302.png,F- Tiny Mallet
raw_000304.png,F- Wooden Spear
raw_000306.png,F- Wooden Staff
raw_000308.png,G- Holy Club
raw_000310.png,S- Blizzard Sword
raw_000312.png,S- Champion's Bow
raw_000314.png,S- Divine Club
raw_000316.png,S- Fire Spear
raw_000318.png,S- Legendary Axe
raw_000320.png,S- Mystic Staff
raw_000321.png,B- Iron Mask
raw_000322.png,B- Paintbrush
raw_000323.png,F- Wooden Shield
raw_000324.png,B- Silver Armor
raw_000325.png,A- Golden Collar
raw_000326.png,B- Mystic Hat
raw_000327.png,A- Angelic Club
raw_000329.png,A- Heavy Armor
raw_000330.png,A- Golden Earrings
raw_000331.png,B- Shampoo Hat
raw_000332.png,A- Golden Knife
raw_000334.png,B- Purple Cape
raw_000335.png,A- Light Ring
raw_000336.png,B- Wizard's Hat
raw_000337.png,A- Legendary Spear
raw_000339.png,E- Yellow Garment
raw_000340.png,A- Silk Gloves
raw_000341.png,B- Iron Headpiece
raw_000342.png,A- Legendary Staff
raw_000344.png,B- Fine Robe
raw_000345.png,A- Red Pendant
raw_000346.png,C- Mage's Hat
raw_000347.png,A- Steel Club
raw_000350.png,B- Gold Bag
raw_000351.png,E- Hat (B)
raw_000352.png,A- Sword of Rage
raw_000355.png,B- Golden Bracelet
raw_000357.png,A- Teardop Sword
raw_000360.png,B- Leather Gloves
raw_000362.png,B- Battle Axe
raw_000365.png,B- Red Ribbon
raw_000367.png,B- Big Bad Hammer
raw_000370.png,D- Loafers
raw_000372.png,B- Commander's Spear
raw_000375.png,D- Scarf
raw_000377.png,B- Destruction Sword
raw_000379.png,B- Diamond Staff
raw_000381.png,B- Frosty Sword
raw_000383.png,B- Hero Club
raw_000385.png,B- Hero Sword
raw_000387.png,B- Iron Club
raw_000389.png,B- Lightning Scalpel
raw_000391.png,B- Master's Katana
raw_000393.png,B- Musket
raw_000395.png,B- Red Spear
raw_000397.png,B- Silver Hammer
raw_000399.png,B- Sword of the Void
raw_000401.png,B- Tree Branch
raw_000403.png,B- Trident
raw_000405.png,C- Magic Staff
raw_000407.png,D- Grief Staff
raw_000409.png,D- Spiked Club
raw_000411.png,D- Sturdy Staff
raw_000413.png,E- Gnarly Club
raw_000415.png,C- Artistic Club
raw_000417.png,A- Emerald Club
raw_000419.png,A- Ice Scalpel
raw_000421.png,S- Fire Hammer
raw_000423.png,S- Fire Sword
