id,name,res,img,group,minLevel,maxLevel,hp,rank,week,equipId1,equipRate1,equipNum1,equipId2,equipRate2,equipNum2,equipId3,equipRate3,equipNum3,itemId1,itemRate1,minItemNum1,maxItemNum1,itemId2,itemRate2,minItemNum2,maxItemNum2,itemId3,itemRate3,minItemNum3,maxItemNum3,furnitureId,furnitureRate,furnitureNum,valuableId,valuableRate,valuableNum,skillId,skillRate,skillNum,jobId,jobRate,jobNum,flag
0,Tool Box,27,47,100,1,100,18,-1,-1,-1,0,0,-1,0,0,-1,0,0,75,100,1,3,76,70,1,3,2,15,1,3,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0
1,Tool Box,27,47,100,10,500,45,-1,-1,-1,0,0,-1,0,0,-1,0,0,75,100,1,3,76,70,1,3,2,15,1,3,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0
2,Tool Box,27,47,100,50,999,165,-1,-1,-1,0,0,-1,0,0,-1,0,0,75,100,1,3,76,70,1,3,2,15,1,3,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0
3,Tool Box,27,47,100,100,999,315,-1,-1,-1,0,0,-1,0,0,-1,0,0,75,100,1,3,76,70,1,3,2,15,1,3,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0
4,Tool Box,27,47,100,200,999,615,-1,-1,-1,0,0,-1,0,0,-1,0,0,75,100,1,3,76,70,1,3,2,15,1,3,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0
5,Sack of Grass,27,50,100,1,999,18,-1,-1,-1,0,0,-1,0,0,-1,0,0,85,100,1,3,77,70,1,3,1,15,1,3,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0
6,Sack of Grass,27,50,100,50,999,165,-1,-1,-1,0,0,-1,0,0,-1,0,0,86,100,1,3,77,70,1,3,1,15,1,3,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0
7,Sack of Grass,27,50,100,150,999,465,-1,-1,-1,0,0,-1,0,0,-1,0,0,87,100,1,3,77,70,1,3,1,15,1,3,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0
8,Vegetable Pouch,27,53,100,1,999,18,-1,-1,-1,0,0,-1,0,0,-1,0,0,96,100,1,3,97,70,1,3,1,15,1,3,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0
9,Vegetable Pouch,27,53,100,50,999,165,-1,-1,-1,0,0,-1,0,0,-1,0,0,99,100,1,3,100,70,1,3,1,15,1,3,-1,0,0,-1,0,0,-1,0,0,-1,0,0,0
