0	Royal	15	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	23
1	Merchant	15	1	0	0	-1	-1	-1	1	-1	-1	0	-1	0	1	1	1	3
2	Farmer	15	1	0	-1	1	0	1	1	-1	-1	-1	-1	0	1	1	1	2
3	Carpenter	15	1	0	-1	1	-1	1	1	-1	-1	-1	-1	0	1	1	1	0
4	Porter	15	1	0	-1	-1	-1	-1	1	-1	1	-1	-1	0	1	1	1	4
5	Trader	15	1	0	0	-1	-1	-1	1	1	-1	1	-1	0	1	1	1	0
6	Researcher	15	1	0	0	-1	-1	-1	1	-1	-1	1	-1	0	1	1	1	2
7	Cook	15	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	1	2
8	Artisan	15	1	0	-1	-1	-1	1	1	0	-1	0	-1	0	1	1	1	4
9	Blacksmith	15	1	0	-1	-1	-1	1	1	-1	-1	0	-1	0	1	1	1	4
10	Doctor	15	1	1	0	-1	-1	-1	0	-1	-1	1	-1	0	1	1	1	2
11	Monk	15	1	0	1	-1	-1	-1	0	-1	-1	1	-1	0	1	1	1	2
12	Rancher	15	1	0	-1	-1	-1	-1	1	-1	-1	0	-1	0	1	1	1	4
13	Guard	15	1	1	0	0	1	0	1	-1	0	0	0	1	1	1	1	12
14	Knight	15	1	1	0	1	1	0	1	-1	0	0	0	1	1	1	1	12
15	Mage	15	1	-1	1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	1	11
16	Paladin	15	1	1	0	1	1	1	1	0	-1	1	1	1	1	1	1	12
17	Gunner	15	1	-1	-1	-1	-1	-1	1	1	0	0	0	1	1	1	1	12
18	Archer	15	1	0	0	0	0	0	0	0	1	0	0	-1	1	1	1	12
19	Ninja	15	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	14
20	Samurai	15	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	12
21	Viking	15	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	12
22	Pirate	15	1	1	-1	1	1	1	1	1	1	0	0	1	1	1	1	12
23	Champion	15	1	1	-1	0	0	0	1	-1	0	0	0	1	1	1	1	15
24	Wizard	15	1	0	1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	1	11
25	Scholar	15	1	0	0	-1	-1	-1	1	-1	-1	0	-1	0	1	1	1	24
26	Santa Claus	15	1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1	1	1	1	27
27	Guerilla	15	1	1	-1	0	0	0	1	-1	0	0	0	0	1	1	1	13
28	Magic Knight	15	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	15
29	Berserker	15	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	14
30	Artist	15	1	0	0	-1	-1	-1	1	1	-1	1	-1	0	1	1	1	0
31	Entertainer	15	1	1	0	-1	-1	-1	1	1	-1	1	-1	0	1	1	1	0
32	Beast Tamer	15	1	0	-1	-1	-1	-1	1	-1	-1	0	-1	0	1	1	1	7
33	Royal	15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
