0	未使用	0	0
1	道がない…	1	0
2	迷った…	1	0
3	ここはどこ…	1	0
4	つかれた	2	0
5	よいしょ	2	0
6	・・・	536870978	0
7	はじめまして!	4	32768
8	よろしく!	4	0
9	こんにちは!	4	294912
10	やられた	8	0
11	まいった	8	0
12	ぐわー	8	0
13	あうち	8	0
14	しまった	8	0
15	もうだめ	8	0
16	たまらん	8	0
17	しっかり	16	0
18	大丈夫	16	0
19	あらら	16	0
20	ありゃまー	16	0
21	大変!	16	0
22	気を確かに	16	0
23	おはよう	32	0
24	よく寝た	32	0
25	まだ眠い	32	0
26	ふぁ～	96	0
27	むにゃむにゃ	32	0
28	いい朝だ	32	0
29	眠い…	64	0
30	もう寝よう	64	0
31	おやすみ	64	0
32	また明日	64	0
33	これにしよう	128	0
34	これがいい	128	0
35	これかな	128	0
36	これだよ	128	0
37	これください	512	0
38	これにします	512	0
39	やった	1024	0
40	わーい	1049600	32768
41	よかった	525312	32768
42	満足	1024	1024
43	手に入れた	1024	0
44	感動	1024	163840
45	すげー	1024	164096
46	いい感じ	1024	0
47	頑張るぞ	10240	0
48	うでが鳴るよ	10240	0
49	おまかせあれ	2048	0
50	それ	10240	65536
51	完成	20480	0
52	できた	20480	0
53	いい出来だ	16384	0
54	うまく出来た	16384	0
55	刈るべ	32768	0
56	豊作だべ	32768	0
57	頃合だべ	32768	0
58	よいしょ	65536	0
59	どっこいせ	131072	0
60	うんしょ	196608	0
61	んしょ	196608	0
62	どっこらせ	131072	0
63	重い	65536	0
64	えっほえっほ	65536	0
65	異常なし	262144	0
66	売り切れか	256	0
67	何もない	256	0
68	助かった	524288	256
69	ありがとう	524288	1026
70	ほっ	524288	128
71	あせあせ	524288	128
72	どや	1048576	128
73	勝ったー	1048576	0
74	勝利	1048576	0
75	暇だなぁ	538968064	0
76	誰か来ないかな	2097152	0
77	いい天気	538968064	0
78	でたー	4194304	0
79	なにやつ	4194304	0
80	むむむ	339738624	128
81	ややっ	4194304	0
82	おっと	4194304	128
83	あっ	4194304	0
84	おこしやす	8388608	8
85	まいどあり	8388608	0
86	まいど	8388608	0
87	よしよし	16777216	0
88	どーどー	16777216	0
89	ｾｲｾｲｾｲ	16777216	0
90	ハイホー	33554432	0
91	ｴﾝﾔｺｰﾗ	33554432	8192
92	ｶﾝｶﾝ	33554432	0
93	ﾓｿﾞﾓｿﾞ	67108864	0
94	ｺﾞｿｺﾞｿ	67108864	0
95	使用中…	134217728	0
96	こりは	268435456	0
97	おお	268435456	164096
98	うーむ	268435456	4096
99	ぼー	536870912	0
100	ぶらぶら	536870912	0
101	何しよう	536870912	0
102	♪	536870912	262144
103	店員さん	1073741824	0
104	誰か	1073741824	0
105	ﾁｰﾝ	1073741824	0
106	がんばった	0	1
107	お役に立てましたか	0	513
108	またお願いします	0	1
109	また会おう	0	514
110	よい夢を	64	0
111	こ、これは…	0	260
112	よく来たね	0	8
113	国王である	0	8
114	おほん	0	8
115	ハロー	0	262152
116	ようこそ	0	8
117	じー	0	131080
118	苦しゅうない	0	16
119	よろしくお願いします!	0	64
120	では、始めます	0	48
121	うろうろ	536870912	0
122	えいっ	0	2048
123	えいやっ	0	2048
124	むんっ	0	2048
125	とりゃ	0	2048
126	おりゃ	0	2048
127	そりゃ	0	2048
128	なるほど	0	266240
129	ふむふむ	0	135168
130	ﾄﾝﾄﾝ	0	8192
131	ﾄﾝﾃﾝﾄﾝﾃﾝ	0	8192
132	ﾄﾞｺﾄﾞｺ	0	8192
133	ﾄﾞﾝﾄﾞﾝ	0	8192
134	ﾎﾞｺﾎﾞｺ	0	8192
135	ﾃﾞﾝﾃﾞﾝ	0	8192
136	修理中	0	16384
137	修理するぞ	0	16384
138	ﾄﾞｷﾄﾞｷ	0	32768
139	緊張	0	32768
140	あーだ	0	262144
141	こーだ	0	262144
142	ぺちゃくちゃ	0	262144
143	失敗した…	0	52
