0	0	1	33	80
1	0	2	33	80
2	0	3	33	65
3	0	4	33	65
4	0	5	33	65
5	0	6	33	95
6	0	7	33	80
7	0	8	33	90
8	0	9	33	100
9	0	10	33	100
10	0	11	33	75
11	0	12	33	95
12	0	13	33	100
13	0	14	33	90
14	0	15	33	65
15	0	16	33	70
16	0	17	33	100
17	0	18	33	90
18	0	19	33	65
19	0	20	33	60
20	0	21	33	90
21	0	22	33	65
22	0	23	33	100
23	0	24	33	100
24	0	25	33	65
25	0	26	33	100
26	0	27	33	65
27	0	28	33	100
28	0	29	33	65
29	0	30	33	65
30	0	31	33	100
31	0	32	33	95
32	1	1	20	80
33	1	2	30	60
34	1	3	12	65
35	1	4	31	80
36	1	5	10	95
37	1	6	27	90
38	1	7	3	70
39	1	8	29	95
40	1	9	10	90
41	1	10	28	70
42	1	11	18	75
43	1	12	30	80
44	1	13	6	70
45	1	14	31	95
46	1	15	17	90
47	1	16	32	65
48	1	17	24	80
49	1	18	30	60
50	1	19	7	100
51	1	20	27	90
52	1	21	16	65
53	1	22	28	70
54	1	23	22	100
55	1	24	31	90
56	1	25	21	65
57	1	26	28	60
58	1	27	5	90
59	1	28	32	100
60	1	29	4	90
61	1	30	27	100
62	1	31	2	65
63	1	32	29	100
64	2	2	11	65
65	2	3	31	100
66	2	4	13	65
67	2	5	29	65
68	2	6	9	100
69	2	7	32	95
70	2	8	19	80
71	2	9	30	60
72	2	10	23	65
73	2	11	27	80
74	2	12	14	95
75	2	13	32	90
76	2	14	15	70
77	2	15	28	95
78	2	16	8	90
79	2	17	29	70
80	2	18	20	75
81	2	19	30	80
82	2	20	1	70
83	2	21	31	95
84	2	22	3	90
85	2	23	27	65
86	2	24	12	80
87	2	25	29	60
88	2	26	10	70
89	2	27	28	90
90	2	28	18	75
91	2	29	31	100
92	2	30	6	65
93	2	31	30	100
94	2	32	17	80
95	3	3	32	70
96	3	4	24	80
97	3	5	30	95
98	3	6	7	65
99	3	7	27	65
100	3	8	16	65
101	3	9	28	100
102	3	10	22	80
103	3	11	31	70
104	3	12	21	65
105	3	13	32	95
106	3	14	5	70
107	3	15	28	100
108	3	16	4	70
109	3	17	27	65
110	3	18	2	75
111	3	19	29	80
112	3	20	11	90
113	3	21	31	60
114	3	22	13	100
115	3	23	29	75
116	3	24	9	70
117	3	25	32	65
118	3	26	19	80
119	3	27	30	80
120	3	28	23	80
121	3	29	27	70
122	3	30	14	90
123	3	31	32	95
124	3	32	15	100
125	4	4	28	75
126	4	5	8	70
127	4	6	29	100
128	4	7	20	95
129	4	8	30	80
130	4	9	1	65
131	4	10	31	60
132	4	11	3	100
133	4	12	27	100
134	4	13	12	90
135	4	14	29	70
136	4	15	10	75
137	4	16	28	65
138	4	17	18	60
139	4	18	30	100
140	4	19	6	65
141	4	20	31	60
142	4	21	17	60
143	4	22	32	70
144	4	23	24	100
145	4	24	28	90
146	4	25	7	80
147	4	26	27	100
148	4	27	16	100
149	4	28	30	80
150	4	29	22	90
151	4	30	32	80
152	4	31	5	75
153	4	32	31	75
154	5	5	13	70
155	5	6	28	70
156	5	7	4	90
157	5	8	27	75
158	5	9	11	80
159	5	10	29	65
160	5	11	2	95
161	5	12	31	95
162	5	13	21	65
163	5	14	29	90
164	5	15	9	95
165	5	16	32	90
166	5	17	19	100
167	5	18	30	95
168	5	19	23	90
169	5	20	27	95
170	5	21	14	65
171	5	22	32	95
172	5	23	15	65
173	5	24	28	90
174	5	25	8	70
175	5	26	29	95
176	5	27	20	65
177	5	28	30	70
178	5	29	1	95
179	5	30	31	100
180	5	31	6	70
181	5	32	27	60
182	6	6	12	70
183	6	7	29	95
184	6	8	10	70
185	6	9	28	75
186	6	10	18	75
187	6	11	30	70
188	6	12	3	75
189	6	13	31	75
190	6	14	17	90
191	6	15	32	90
192	6	16	24	60
193	6	17	30	65
194	6	18	7	95
195	6	19	27	95
196	6	20	22	95
197	6	21	28	65
198	6	22	16	60
199	6	23	31	65
200	6	24	21	80
201	6	25	32	70
202	6	26	5	90
203	6	27	28	70
204	6	28	4	60
205	6	29	27	75
206	6	30	2	65
207	6	31	29	95
208	6	32	11	65
209	7	7	31	65
210	7	8	13	95
211	7	9	29	70
212	7	10	9	65
213	7	11	32	90
214	7	12	19	90
215	7	13	30	100
216	7	14	23	90
217	7	15	27	80
218	7	16	14	70
219	7	17	32	65
220	7	18	15	80
221	7	19	28	70
222	7	20	8	75
223	7	21	29	70
224	7	22	20	70
225	7	23	29	65
226	7	24	1	80
227	7	25	27	100
228	7	26	3	65
229	7	27	31	90
230	7	28	12	70
231	7	29	30	90
232	7	30	10	95
233	7	31	28	60
234	7	32	18	90
235	8	8	30	60
236	8	9	6	95
237	8	10	31	95
238	8	11	17	75
239	8	12	32	70
240	8	13	24	100
241	8	14	30	75
242	8	15	7	95
243	8	16	27	65
244	8	17	16	95
245	8	18	28	95
246	8	19	21	100
247	8	20	31	75
248	8	21	22	90
249	8	22	32	90
250	8	23	5	100
251	8	24	28	65
252	8	25	4	60
253	8	26	27	80
254	8	27	2	95
255	8	28	29	65
256	8	29	11	60
257	8	30	31	65
258	8	31	13	100
259	8	32	29	65
260	9	9	9	80
261	9	10	32	100
262	9	11	19	100
263	9	12	30	90
264	9	13	23	70
265	9	14	27	80
266	9	15	14	100
267	9	16	32	90
268	9	17	15	70
269	9	18	28	80
270	9	19	8	75
271	9	20	29	95
272	9	21	20	90
273	9	22	30	65
274	9	23	1	95
275	9	24	31	100
276	9	25	3	100
277	9	26	27	100
278	9	27	12	100
279	9	28	29	80
280	9	29	10	100
281	9	30	28	95
282	9	31	18	70
283	9	32	30	95
284	10	10	6	60
285	10	11	31	70
286	10	12	17	95
287	10	13	32	70
288	10	14	24	65
289	10	15	30	75
290	10	16	7	75
291	10	17	27	80
292	10	18	16	95
293	10	19	28	70
294	10	20	22	60
295	10	21	31	95
296	10	22	21	70
297	10	23	32	100
298	10	24	5	70
