0	国王	15	1	0	1	0	0	0	1	1	1	1	1	0	1	1	1	23
1	町人	15	1	0	0	-1	-1	-1	1	-1	-1	0	-1	0	1	1	1	3
2	農民	15	1	0	-1	1	0	1	1	-1	-1	-1	-1	0	1	1	1	2
3	大工	15	1	0	-1	1	-1	1	1	-1	-1	-1	-1	0	1	1	1	0
4	運び屋	15	1	0	-1	-1	-1	-1	1	-1	1	-1	-1	0	1	1	1	4
5	商人	15	1	0	0	-1	-1	-1	1	1	-1	1	-1	0	1	1	1	0
6	研究家	15	1	0	0	-1	-1	-1	1	-1	-1	1	-1	0	1	1	1	2
7	料理人	15	1	1	-1	-1	-1	-1	1	-1	-1	1	-1	0	1	1	1	2
8	工芸家	15	1	0	-1	-1	-1	1	1	0	-1	0	-1	0	1	1	1	4
9	鍛冶職人	15	1	0	-1	-1	-1	1	1	-1	-1	0	-1	0	1	1	1	4
10	医者	15	1	1	0	-1	-1	-1	0	-1	-1	1	-1	0	1	1	1	2
11	僧侶	15	1	0	1	-1	-1	-1	0	-1	-1	1	-1	0	1	1	1	2
12	酪農家	15	1	0	-1	-1	-1	-1	1	-1	-1	0	-1	0	1	1	1	4
13	衛兵	15	1	1	0	0	1	0	1	-1	0	0	0	1	1	1	1	12
14	騎士	15	1	1	0	1	1	0	1	-1	0	0	0	1	1	1	1	12
15	魔法使い	15	1	-1	1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	1	11
16	重騎士	15	1	1	0	1	1	1	1	0	-1	1	1	1	1	1	1	12
17	ガンナー	15	1	-1	-1	-1	-1	-1	1	1	0	0	0	1	1	1	1	12
18	弓矢使い	15	1	0	0	0	0	0	0	0	1	0	0	-1	1	1	1	12
19	忍者	15	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	14
20	侍	15	1	1	0	0	0	0	1	0	0	0	0	0	1	1	1	12
21	ﾊﾞｲｷﾝｸﾞ	15	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	12
22	海賊	15	1	1	-1	1	1	1	1	1	1	0	0	1	1	1	1	12
23	勇者	15	1	1	-1	0	0	0	1	-1	0	0	0	1	1	1	1	15
24	ｳｨｻﾞｰﾄﾞ	15	1	0	1	-1	-1	-1	0	-1	-1	-1	-1	-1	1	1	1	11
25	老師	15	1	0	0	-1	-1	-1	1	-1	-1	0	-1	0	1	1	1	24
26	ｻﾝﾀｸﾛｰｽ	15	1	-1	1	-1	-1	-1	-1	-1	-1	0	-1	1	1	1	1	27
27	遊撃兵	15	1	1	-1	0	0	0	1	-1	0	0	0	0	1	1	1	13
28	魔剣士	15	1	1	1	1	1	1	1	1	1	0	0	1	1	1	1	15
29	狂戦士	15	1	0	0	1	0	1	1	1	1	0	0	1	1	1	1	14
30	芸術家	15	1	0	0	-1	-1	-1	1	1	-1	1	-1	0	1	1	1	0
31	興行家	15	1	1	0	-1	-1	-1	1	1	-1	1	-1	0	1	1	1	0
32	獣使い	15	1	0	-1	-1	-1	-1	1	-1	-1	0	-1	0	1	1	1	7
33	王の子	15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	
