0	住民	0	-1	5	136	0	0	0
1	敵	1	-1	5	136	0	0	0
2	丸浜川ひつじ	2	-1	5	28	0	0	1
3	お客	3	128	5	136	0	0	0
4	パンプキンさん	2	-1	5	136	0	0	0
5	チンパンG	2	-1	5	136	1	0	0
6	森野クマックス	2	-1	5	136	2	0	0
7	ワイロくん	2	-1	5	136	3	0	0
8	アブファラ国王	2	-1	5	136	4	0	0
9	農村ガール	2	-1	5	136	5	0	0
10	農村ボーイ	2	-1	5	136	6	0	0
11	幻の鍛冶屋	2	-1	5	136	0	1	0
12	丸浜川ひつじ	2	-1	5	136	1	1	0
13	衛兵ボーイ	2	-1	5	136	2	1	0
14	謎の隣国の王様	2	-1	5	136	3	1	0
15	謎の隣国の姫	2	-1	5	136	4	1	0
16	農民ボーイ	2	-1	5	136	5	1	0
17	町人ガール	2	-1	5	136	6	1	0
18	王国組合会長	2	-1	5	136	0	2	0
19	近隣の王様	2	-1	5	136	1	2	0
20	トロフィー王	2	-1	5	136	2	2	0
21	カイロくん	2	-1	5	136	3	2	0
22	引越神	2	-1	5	136	4	2	0
23	収集家 ﾓﾁﾎﾟﾝ	2	-1	5	136	3
